trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Imagemteste,Imagemoriginal,key_resp_2.keys,key_resp_2.rt,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,date,frameRate,expName,session,participant,
,,,,,,space,1.36977318153,,,,,,2017_mar_16_1424,59.887535104,aqv,001,,
,,,,,,,,0.351388888889,-0.184444444444,0,0,0,2017_mar_16_1424,59.887535104,aqv,001,,
