Imagemteste,Imagemoriginal,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_2.keys,key_resp_2.rt,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,rating_2.response,rating_2.rt,date,frameRate,expName,session,participant,
,,,,,,space,3.25653431183,,,,,,,,,,,,,2017_mar_22_1156,59.8920615375,aqv,001,,
,,,,,,,,0.404166666667,-0.593333333333,0,0,0,,,,,,,,2017_mar_22_1156,59.8920615375,aqv,001,,
Test_0_10_jp2_bone.png,Orig_0_bone.png,0,0,0,0,,,,,,,,-0.0180555555556,-0.62,1,0,0,Mesmo diagnóstico,2.76,2017_mar_22_1156,59.8920615375,aqv,001,,
