trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Imagemteste,Imagemoriginal,key_resp_2.keys,key_resp_2.rt,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,date,frameRate,expName,session,participant,
,,,,,,space,0.952122276707,,,,,,2017_mar_22_1154,59.9063997378,aqv,001,,
,,,,,,,,-0.0638888888889,-0.151111111111,0,0,0,2017_mar_22_1154,59.9063997378,aqv,001,,
