trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Imagemteste,Imagemoriginal,key_resp_2.keys,key_resp_2.rt,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,date,frameRate,expName,session,participant,
,,,,,,return,15.245545839,,,,,,2017_mar_22_1114,59.9810043208,aqv,001,Luciano,
,,,,,,,,-0.286111111111,-0.0688888888889,0,0,0,2017_mar_22_1114,59.9810043208,aqv,001,Luciano,
