Imagemteste,Imagemoriginal,n,mouse.leftButton_mean,mouse.leftButton_raw,mouse.leftButton_std,mouse.midButton_mean,mouse.midButton_raw,mouse.midButton_std,mouse.rightButton_mean,mouse.rightButton_raw,mouse.rightButton_std,mouse.x_mean,mouse.x_raw,mouse.y_mean,mouse.y_raw,rating_2.response_raw,rating_2.rt_mean,rating_2.rt_raw,rating_2.rt_std,order
Test_0_10_jp2_bone.png,Orig_0_bone.png,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118055555556,0.11805555555555555,-0.94,-0.93999999999999995,u'Alterado',1.97500002384,1.975000023841858,0.0,1.0
Test_3_50_jpg_bone.png,Orig_3_bone.png,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0111111111111,0.011111111111111112,-0.935555555556,-0.93555555555555558,u'Inconclusivo',2.05200004578,2.052000045776367,0.0,0.0
Test_9_70_jpg_soft.png,Orig_9_soft.png,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0916666666667,-0.09166666666666666,-0.94,-0.93999999999999995,u'Normal',1.10899996758,1.1089999675750732,0.0,2.0

extraInfo
date,2017_mar_23_1110
frameRate,59.9019789598
expName,aqv2
session,001
participant,
