18.2057 	EXP 	Created label_teste = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Times New Roman', fontFiles=[], height=0.08, italic=False, name='label_teste', opacity=1.0, ori=0, pos=array([ 0.45,  0.8 ]), rgb=array([ 255.,  255.,  255.]), text=u'Imagem de Teste', units=u'norm', win=Window(...), wrapWidth=1)
18.2154 	EXP 	rating_2: flipVert = False
18.2154 	EXP 	rating_2: autoLog = True
18.2154 	EXP 	rating: flipVert = False
18.2154 	EXP 	rating: autoLog = True
18.2154 	EXP 	title: autoDraw = True
18.2154 	EXP 	question: autoDraw = True
18.2154 	EXP 	goon: autoDraw = True
19.5851 	DATA 	Keypress: space
19.5972 	EXP 	Imported trial.xlsx as conditions, 3 conditions, 2 params
19.5975 	EXP 	Created sequence: random, trialTypes=3, nReps=1, seed=None
19.5978 	EXP 	New trial (rep=0, index=0): {u'Imagemteste': u'Test_3_50_jpg_bone.png', u'Imagemoriginal': u'Orig_3_bone.png'}
19.6165 	EXP 	RatingScale rating_2: reset()
19.6347 	EXP 	title: autoDraw = False
19.6347 	EXP 	question: autoDraw = False
19.6347 	EXP 	goon: autoDraw = False
19.6347 	EXP 	image: image = u'Orig_3_bone.png'
19.6347 	EXP 	image_2: image = u'Test_3_50_jpg_bone.png'
19.6347 	EXP 	image: autoDraw = True
19.6347 	EXP 	image_2: autoDraw = True
19.6347 	EXP 	text: autoDraw = True
19.6347 	EXP 	text_2: autoDraw = True
19.6347 	EXP 	text_3: autoDraw = True
19.6347 	EXP 	rating_2: autoDraw = True
20.7371 	DATA 	Mouse: Left button down, pos=(802,1)
20.8875 	DATA 	Mouse:  Left button up, pos=(802,1)
21.3216 	DATA 	Mouse: Left button down, pos=(566,71)
21.4551 	DATA 	Mouse:  Left button up, pos=(566,71)
21.9896 	DATA 	Mouse: Left button down, pos=(453,126)
22.1402 	DATA 	Mouse:  Left button up, pos=(456,127)
22.7577 	DATA 	Mouse: Left button down, pos=(701,35)
22.7594 	DATA 	RatingScale rating_2: (mouse response) rating=Mesmo Diagnóstico
22.7594 	DATA 	RatingScale rating_2: rating RT=3.142
22.7594 	DATA 	RatingScale rating_2: history=[(None, 0.0), (u'Mesmo Diagn\xf3stico', 2.373), (u'Mesmo Diagn\xf3stico', 3.142)]
22.8912 	DATA 	Mouse:  Left button up, pos=(701,35)
23.7597 	DATA 	Mouse: Left button down, pos=(458,121)
23.9100 	DATA 	Mouse:  Left button up, pos=(457,121)
24.9284 	DATA 	Mouse: Left button down, pos=(958,121)
25.0792 	DATA 	Mouse:  Left button up, pos=(957,121)
25.3626 	DATA 	Mouse: Left button down, pos=(991,134)
25.5129 	DATA 	Mouse:  Left button up, pos=(989,133)
25.6965 	DATA 	Mouse: Left button down, pos=(982,132)
25.8652 	DATA 	Mouse:  Left button up, pos=(978,130)
26.0472 	DATA 	Mouse: Left button down, pos=(973,130)
26.1975 	DATA 	Mouse:  Left button up, pos=(973,130)
26.2642 	DATA 	Keypress: escape
